dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
codex-m,effective_candidates,0.62,12768,0.27919906555755153,0.28625893184499573,0.025286138667211855
codex-m,effective_candidates,0.64,13180,0.28557107569766005,0.29239706409265964,0.023902940374207926
codex-m,effective_candidates,0.66,13592,0.2908223583073749,0.2973437221678053,0.02242387379837507
codex-m,effective_candidates,0.68,14004,0.29727750513308726,0.3035041099117367,0.020945428668953214
codex-m,effective_candidates,0.7,14416,0.30163563414171296,0.3076185385967374,0.019834872865894804
codex-m,effective_candidates,0.72,14828,0.30816885247076636,0.3139229428577765,0.018671875307566976
codex-m,effective_candidates,0.74,15240,0.30987833702633694,0.3154137466840775,0.017863170787798976
codex-m,effective_candidates,0.76,15651,0.31565644001838344,0.3210710367567799,0.017153449294686096
codex-m,effective_candidates,0.78,16063,0.3208376378481508,0.32609354330732343,0.01638182320012027
codex-m,effective_candidates,0.8,16475,0.32489677856942445,0.32989556909250944,0.015385780508798907
codex-m,effective_candidates,0.82,16887,0.32822644650397154,0.3330239187193094,0.014616348762986897
codex-m,effective_candidates,0.84,17299,0.3289824023227224,0.33362989907026047,0.014126885555960422
codex-m,effective_candidates,0.86,17711,0.3304619947816061,0.3349643219870494,0.013624341910841498
codex-m,effective_candidates,0.88,18123,0.3315270724096471,0.3357494633726671,0.012736187522576436
codex-m,effective_candidates,0.9,18535,0.3372537900019865,0.34129476257715763,0.011981993071589425
codex-m,effective_candidates,0.92,18946,0.33626910708577007,0.3400472355149363,0.011235431235146365
codex-m,effective_candidates,0.94,19358,0.34187080231337885,0.34537968563625443,0.01026377011178381
codex-m,effective_candidates,0.96,19770,0.3427110426259915,0.34603581377961307,0.009701383206522474
codex-m,effective_candidates,0.98,20182,0.34061551682443475,0.34358935028353277,0.008730763315843992
codex-m,effective_candidates,1.0,20594,0.34234153499948844,0.3449297847479118,0.0075604315685131596
hetionet,effective_candidates,0.02,9001,0.44501156789076074,0.5712044127965826,0.2835720552253129
hetionet,effective_candidates,0.04,18002,0.4713565239116345,0.566939184471257,0.20278208895129546
hetionet,effective_candidates,0.06,27002,0.4732722733683211,0.5497593616401562,0.16161328811313957
hetionet,effective_candidates,0.08,36003,0.4701793003959529,0.5419180249880812,0.1525773774636927
hetionet,effective_candidates,0.1,45004,0.4518992978358109,0.5160349287305577,0.14192460842913124
hetionet,effective_candidates,0.12,54005,0.4483710585720435,0.5074667242710368,0.13180080330608113
hetionet,effective_candidates,0.14,63006,0.44307871571821067,0.49910632352696144,0.12645068657367697
hetionet,effective_candidates,0.16,72006,0.4324856391827775,0.4858952557846211,0.12349454354777234
hetionet,effective_candidates,0.18,81007,0.4241787045560911,0.47529877823806504,0.12051541751835892
hetionet,effective_candidates,0.2,90008,0.41821046219561325,0.4671200970095953,0.11694981172208241
hetionet,effective_candidates,0.22,99009,0.4115827284314801,0.4593779022973055,0.11612531470397291
hetionet,effective_candidates,0.24,108010,0.4106844726342921,0.4581228477276029,0.1155105153818512
hetionet,effective_candidates,0.26,117010,0.4018464888662638,0.44717064336282847,0.11278972381826313
hetionet,effective_candidates,0.28,126011,0.40114625314841285,0.44541235280600394,0.11034902933821966
hetionet,effective_candidates,0.3,135012,0.3946888093745975,0.43798759328336684,0.10970360162320847
hetionet,effective_candidates,0.32,144013,0.3937099078508407,0.4360525049939544,0.1075477052996987
hetionet,effective_candidates,0.34,153014,0.3926453176922134,0.4339773369575653,0.1052655345752811
hetionet,effective_candidates,0.36,162014,0.39263444336844705,0.4328294986121537,0.10237271824364047
hetionet,effective_candidates,0.38,171015,0.39547628027037063,0.4348080644312419,0.0994542179216964
hetionet,effective_candidates,0.4,180016,0.3964937180713503,0.4348903137386835,0.0968403632070245
hetionet,effective_candidates,0.42,189017,0.3968407375873845,0.43448831924669473,0.09486823829678093
hetionet,effective_candidates,0.44,198018,0.3991126406209771,0.43598817824982544,0.09239381035758187
hetionet,effective_candidates,0.46,207018,0.3988853866663219,0.4352530711049103,0.0911732684481894
hetionet,effective_candidates,0.48,216019,0.3975344730848935,0.43305449496190523,0.08935079667776757
hetionet,effective_candidates,0.5,225020,0.3973770530911069,0.4323448068960083,0.08799640928658348
hetionet,effective_candidates,0.52,234021,0.3962480096844144,0.4305414887153585,0.08654549219882912
hetionet,effective_candidates,0.54,243022,0.3961775259248102,0.42974930167538294,0.08473922308491644
hetionet,effective_candidates,0.56,252022,0.39651150153964115,0.42935140558629914,0.08282207179146561
hetionet,effective_candidates,0.58,261023,0.39464934186873685,0.42676605831410064,0.08138038769629063
hetionet,effective_candidates,0.6,270024,0.39285286829580435,0.4240643698053305,0.07944832284137737
hetionet,effective_candidates,0.62,279025,0.392536718259521,0.42302816046183706,0.0776779363151372
hetionet,effective_candidates,0.64,288026,0.3915112005977313,0.4214256494342719,0.07640764501978325
hetionet,effective_candidates,0.66,297026,0.3908124218628971,0.42008447726415205,0.07490052455785046
hetionet,effective_candidates,0.68,306027,0.3906993075374194,0.4194336633213081,0.07354596035759986
hetionet,effective_candidates,0.7,315028,0.38906466457338174,0.41719183638059487,0.07229433656756057
hetionet,effective_candidates,0.72,324029,0.3897288237267759,0.4173776490145763,0.07094375269298503
hetionet,effective_candidates,0.74,333030,0.391255584708916,0.41849002755136494,0.06960780601434902
hetionet,effective_candidates,0.76,342030,0.39315701162593153,0.4198634627608915,0.06792820767589358
hetionet,effective_candidates,0.78,351031,0.394297500407538,0.4204384767096542,0.06629759578769168
hetionet,effective_candidates,0.8,360032,0.3964840432698649,0.4220218052035191,0.06441056674826151
hetionet,effective_candidates,0.82,369033,0.3973113856839792,0.4223355628785603,0.0629837907904438
hetionet,effective_candidates,0.84,378034,0.395765008108058,0.42013620353692477,0.06157996520554576
hetionet,effective_candidates,0.86,387034,0.39148242805972855,0.4151720807103768,0.06051268448512315
hetionet,effective_candidates,0.88,396035,0.387567722811556,0.4105205948895721,0.05922286797132559
hetionet,effective_candidates,0.9,405036,0.3842991791068442,0.4066064981334263,0.058046751695975285
hetionet,effective_candidates,0.92,414037,0.3800491160626558,0.40143704922860196,0.05627676071852794
hetionet,effective_candidates,0.94,423038,0.37629714099758504,0.3970472136493336,0.055142785822764884
hetionet,effective_candidates,0.96,432038,0.37381672219035006,0.39371448437119627,0.053228657252829104
hetionet,effective_candidates,0.98,441039,0.37162480455265773,0.3904559874405948,0.050672567216295095
hetionet,effective_candidates,1.0,450040,0.37318845483349955,0.39032189792982713,0.045910967701216165
FB15k-237,balanced5_rf,0.02,816,0.1922126509994372,0.291697968857874,0.5175794482889062
FB15k-237,balanced5_rf,0.04,1633,0.21224698411334603,0.30014333803305854,0.4141229817087686
FB15k-237,balanced5_rf,0.06,2449,0.22776267443410667,0.3014363662343965,0.32346692443499636
FB15k-237,balanced5_rf,0.08,3266,0.2149302656479615,0.2783706845426501,0.2951674521195584
FB15k-237,balanced5_rf,0.1,4082,0.22703124154572182,0.2818622027632767,0.2415128457398339
FB15k-237,balanced5_rf,0.12,4898,0.2328787723291892,0.28042563938674403,0.20417003482972795
FB15k-237,balanced5_rf,0.14,5715,0.23739945771234575,0.27970437091577255,0.17820138938433128
FB15k-237,balanced5_rf,0.16,6531,0.2404484586230448,0.27818361160385185,0.1569365559542435
FB15k-237,balanced5_rf,0.18,7347,0.2485732141117777,0.2827178160410121,0.13736235439221667
FB15k-237,balanced5_rf,0.2,8164,0.252986566519034,0.2836163275184163,0.12107267757664841
FB15k-237,balanced5_rf,0.22,8980,0.2572788748443611,0.28481264951896385,0.10701918177797953
FB15k-237,balanced5_rf,0.24,9797,0.26194986386412583,0.28709782970964004,0.09600297352534048
FB15k-237,balanced5_rf,0.26,10613,0.266996753383363,0.29019609021672615,0.08688995854587334
FB15k-237,balanced5_rf,0.28,11429,0.27294798592058245,0.29418751279767397,0.07781529072455373
FB15k-237,balanced5_rf,0.3,12246,0.2827055331276,0.3023768082804575,0.06958220780199165
FB15k-237,balanced5_rf,0.32,13062,0.2840471792793663,0.3024837763820654,0.06490681283818112
FB15k-237,balanced5_rf,0.34,13878,0.28079338469337883,0.2981103149750374,0.061671432539510684
FB15k-237,balanced5_rf,0.36,14695,0.27772688207577306,0.2940243708483146,0.05868171150999735
FB15k-237,balanced5_rf,0.38,15511,0.2731802865706403,0.2885456524282212,0.05624624693995872
FB15k-237,balanced5_rf,0.4,16328,0.27254089772318213,0.2869778982341582,0.05297186819146549
FB15k-237,balanced5_rf,0.42,17144,0.27160265362719666,0.2851743964318533,0.049969109739573137
FB15k-237,balanced5_rf,0.44,17960,0.2729829312279514,0.2859272067012498,0.04741789318134848
FB15k-237,balanced5_rf,0.46,18777,0.2776734762197343,0.2899850981422459,0.044338487384977476
FB15k-237,balanced5_rf,0.48,19593,0.28201455433055195,0.2938019207394083,0.04179701447266537
FB15k-237,balanced5_rf,0.5,20410,0.28632727479677433,0.2976518366017917,0.039551110920379884
FB15k-237,balanced5_rf,0.52,21226,0.28978984940621816,0.3006667568639429,0.03753377656260781
FB15k-237,balanced5_rf,0.54,22042,0.2971257707187591,0.307599780687012,0.03525109903094514
FB15k-237,balanced5_rf,0.56,22859,0.3103030854545305,0.3204048790258391,0.032554602402717014
FB15k-237,balanced5_rf,0.58,23675,0.3238663596604396,0.3336225570492617,0.030124145647763667
FB15k-237,balanced5_rf,0.6,24491,0.3372792457433524,0.3467101297917743,0.02796164948612989
FB15k-237,balanced5_rf,0.62,25308,0.34696668137254727,0.3560931183448767,0.026303496739878973
FB15k-237,balanced5_rf,0.64,26124,0.35633362008960145,0.3651845566573443,0.024838903961734493
FB15k-237,balanced5_rf,0.66,26941,0.3587855880400236,0.3673573793324658,0.02389112488957057
FB15k-237,balanced5_rf,0.68,27757,0.3632165312804239,0.37153481766436924,0.022901728494078677
FB15k-237,balanced5_rf,0.7,28573,0.36617631053719946,0.37425712504182446,0.022068097449477353
FB15k-237,balanced5_rf,0.72,29390,0.36444089587097034,0.3722928912193304,0.021545318973038796
FB15k-237,balanced5_rf,0.74,30206,0.3677196049998639,0.37536236524411587,0.020784206608333466
FB15k-237,balanced5_rf,0.76,31022,0.3691623366144381,0.37660407848918426,0.020158453711702773
FB15k-237,balanced5_rf,0.78,31839,0.37091074853190276,0.3781615326783388,0.019548595383485967
FB15k-237,balanced5_rf,0.8,32655,0.3692836693429453,0.37635326715150064,0.01914408460339989
FB15k-237,balanced5_rf,0.82,33472,0.36633172343486414,0.37322876324241605,0.01882730696343371
FB15k-237,balanced5_rf,0.84,34288,0.36292265805032853,0.3696555592530343,0.018551889922981957
FB15k-237,balanced5_rf,0.86,35104,0.35730620685029924,0.3638826003222219,0.018405483436446435
FB15k-237,balanced5_rf,0.88,35921,0.35135892220283294,0.35778573984260836,0.018291317606175195
FB15k-237,balanced5_rf,0.9,36737,0.34967797465564243,0.355962081944222,0.01797112699124992
FB15k-237,balanced5_rf,0.92,37553,0.3486486359573061,0.3547882365239632,0.017609707692672227
FB15k-237,balanced5_rf,0.94,38370,0.3516214071189964,0.3575570421836416,0.01688075567775771
FB15k-237,balanced5_rf,0.96,39186,0.3552849939717018,0.3608021999453321,0.015528958631080503
FB15k-237,balanced5_rf,0.98,40003,0.35402608750507214,0.3590437971969992,0.014173276685027325
FB15k-237,balanced5_rf,1.0,40819,0.352811985517237,0.3560530550713822,0.009186393000208293
KG20C,balanced5_rf,0.02,149,0.1639122037341494,0.25352572785023314,0.5467166084926092
KG20C,balanced5_rf,0.04,298,0.19113797192353638,0.2715920232591588,0.42092134035934836
KG20C,balanced5_rf,0.06,447,0.18564197958883158,0.2605536031105122,0.4035273901280212
KG20C,balanced5_rf,0.08,596,0.1847890851334493,0.25165132322565437,0.36183001849876084
KG20C,balanced5_rf,0.1,745,0.18729952999328411,0.24872081907473878,0.32793082333766144
KG20C,balanced5_rf,0.12,894,0.19015289765375268,0.24816127913133357,0.30506178024805974
KG20C,balanced5_rf,0.14,1043,0.18786310644523585,0.24178136263272282,0.28700822214501565
KG20C,balanced5_rf,0.16,1192,0.18420781901968064,0.23288641148792635,0.26425910000619957
KG20C,balanced5_rf,0.18,1341,0.17630481321451036,0.22312022047457575,0.2655367508492523
KG20C,balanced5_rf,0.2,1490,0.1790873526927928,0.22216139173965782,0.24051971509542835
KG20C,balanced5_rf,0.22,1639,0.18215047373135398,0.222485741093408,0.22143926686428927
KG20C,balanced5_rf,0.24,1788,0.17760097414735065,0.21659733456822267,0.21957289709750016
KG20C,balanced5_rf,0.26,1936,0.18043870898067646,0.21838035560606647,0.2102744296926513
KG20C,balanced5_rf,0.28,2085,0.1833051158174499,0.2193935556123342,0.19687633721485498
KG20C,balanced5_rf,0.3,2234,0.1829681779229541,0.2176775076286862,0.18970145573810004
KG20C,balanced5_rf,0.32,2383,0.18466082618533589,0.21818819234100045,0.1815618767026128
KG20C,balanced5_rf,0.34,2532,0.182095605689702,0.21459112648379924,0.17845307508117947
KG20C,balanced5_rf,0.36,2681,0.1808359606636891,0.21238986607793034,0.17448910768872916
KG20C,balanced5_rf,0.38,2830,0.1796558656621512,0.21016798425277594,0.16983647307126493
KG20C,balanced5_rf,0.4,2979,0.17798246721827532,0.20784730561714768,0.16779651875623514
KG20C,balanced5_rf,0.42,3128,0.17563867904743458,0.20386635561429828,0.16071446631206032
KG20C,balanced5_rf,0.44,3277,0.1753766554983164,0.20250291381998367,0.15467428230165825
KG20C,balanced5_rf,0.46,3426,0.17419957311289136,0.20032815172135646,0.14999220802643576
KG20C,balanced5_rf,0.48,3575,0.17247090396047202,0.19749250642139468,0.14507723845789822
KG20C,balanced5_rf,0.5,3724,0.1742508454660243,0.1976869185958344,0.13449618030335309
KG20C,balanced5_rf,0.52,3873,0.17411281118766248,0.19636136464172513,0.1277824032723398
KG20C,balanced5_rf,0.54,4022,0.1728924933228345,0.19417005213768732,0.12306814718162573
KG20C,balanced5_rf,0.56,4171,0.17245814679870775,0.19260906213136542,0.11684525032138793
KG20C,balanced5_rf,0.58,4320,0.17168115680649063,0.1911643803960721,0.1134849272453462
KG20C,balanced5_rf,0.6,4469,0.1710691939067755,0.1899373309069337,0.11029535224466214
KG20C,balanced5_rf,0.62,4618,0.17098816420213414,0.1889143745518978,0.10483889591663287
KG20C,balanced5_rf,0.64,4767,0.17327529492882815,0.19066253976098996,0.10034462696660551
KG20C,balanced5_rf,0.66,4916,0.17623942529245606,0.19281281049014595,0.09403903337852815
KG20C,balanced5_rf,0.68,5065,0.17629845592025437,0.1923114818867498,0.09082907665248441
KG20C,balanced5_rf,0.7,5214,0.17804295482855506,0.19356442558347847,0.08717823611650166
KG20C,balanced5_rf,0.72,5363,0.18195892135502875,0.19689902911879442,0.08210703631626459
KG20C,balanced5_rf,0.74,5512,0.18956830059219948,0.20382682288915613,0.07521575206621534
KG20C,balanced5_rf,0.76,5660,0.19460895329927866,0.20816803961916813,0.06967349697954384
KG20C,balanced5_rf,0.78,5809,0.20430249015068117,0.21733115645587775,0.06377145131998851
KG20C,balanced5_rf,0.8,5958,0.2076761096425272,0.2200782679837317,0.05971875321890585
KG20C,balanced5_rf,0.82,6107,0.207494648897297,0.21951553246932953,0.05793346303587077
KG20C,balanced5_rf,0.84,6256,0.20833590561565216,0.2199292882680477,0.05564754965369989
KG20C,balanced5_rf,0.86,6405,0.2138165152163468,0.22509975098744314,0.05277064664382736
KG20C,balanced5_rf,0.88,6554,0.21624007111511614,0.22715314335299505,0.0504673910880713
KG20C,balanced5_rf,0.9,6703,0.22511861938005615,0.23573874216444643,0.0471756748226182
KG20C,balanced5_rf,0.92,6852,0.22837414745154533,0.2386418508717381,0.044960007666241086
KG20C,balanced5_rf,0.94,7001,0.22634388891586496,0.236166212267653,0.043395575638621064
KG20C,balanced5_rf,0.96,7150,0.2276250342613093,0.23681893144638796,0.040390536194381044
KG20C,balanced5_rf,0.98,7299,0.22612885370679414,0.23485375183832954,0.038583745455360585
KG20C,balanced5_rf,1.0,7448,0.22638074035722047,0.23398674950607826,0.033598304947920044
WN18RR,balanced5_rf,0.02,121,0.49923980086671027,0.5479466515608375,0.09756203453644785
WN18RR,balanced5_rf,0.04,242,0.4565971406176133,0.4893780250157285,0.0717938889275005
WN18RR,balanced5_rf,0.06,363,0.44576045936803216,0.4726698529125982,0.060367385619434
WN18RR,balanced5_rf,0.08,484,0.3919583367086819,0.4126749087646447,0.05285401563319758
WN18RR,balanced5_rf,0.1,606,0.3550701864474495,0.3720513347751991,0.0478247652883772
WN18RR,balanced5_rf,0.12,727,0.36827826031524,0.3852445296126971,0.04606915782358212
WN18RR,balanced5_rf,0.14,848,0.3583997665958652,0.3743452414626782,0.044490751258756456
WN18RR,balanced5_rf,0.16,969,0.351110525751051,0.36554653927258984,0.04111529693010252
WN18RR,balanced5_rf,0.18,1090,0.34936565929543906,0.36240031325337074,0.03730948824282976
WN18RR,balanced5_rf,0.2,1211,0.34093952215284085,0.35276669413964795,0.034689941230999555
WN18RR,balanced5_rf,0.22,1332,0.346465444977733,0.3575483918926206,0.031988606874200354
WN18RR,balanced5_rf,0.24,1453,0.3383820490481445,0.3489447896876712,0.031215428446157878
WN18RR,balanced5_rf,0.26,1574,0.32377695055406686,0.333639298932314,0.03046031646591918
WN18RR,balanced5_rf,0.28,1695,0.3144811280677004,0.3238196039997415,0.0296948690988883
WN18RR,balanced5_rf,0.3,1816,0.30988977108854393,0.3187547217790999,0.02860678705017028
WN18RR,balanced5_rf,0.32,1938,0.3020786264176968,0.31045824587050397,0.027739862141786586
WN18RR,balanced5_rf,0.34,2059,0.297667011952932,0.3057129589427561,0.027030025722488693
WN18RR,balanced5_rf,0.36,2180,0.28491190558623813,0.2925373189620582,0.026764109278374804
WN18RR,balanced5_rf,0.38,2301,0.27743765482059984,0.2846949761841911,0.02615838635272505
WN18RR,balanced5_rf,0.4,2422,0.2736455649839274,0.28059961879972617,0.02541263117568615
WN18RR,balanced5_rf,0.42,2543,0.2702485182353653,0.27698457218325423,0.024925405666877287
WN18RR,balanced5_rf,0.44,2664,0.2646285245423464,0.2711203946120579,0.024532011735842296
WN18RR,balanced5_rf,0.46,2785,0.2596864376925248,0.26592838317409623,0.0240364708185572
WN18RR,balanced5_rf,0.48,2906,0.2540434536839532,0.26005502890065774,0.023663570658991828
WN18RR,balanced5_rf,0.5,3028,0.24649290267099702,0.25228018691432336,0.02347850254760009
WN18RR,balanced5_rf,0.52,3149,0.24236223201527143,0.24795902506709608,0.023092678282777834
WN18RR,balanced5_rf,0.54,3270,0.23882374873084444,0.24422412933151938,0.022612410320889786
WN18RR,balanced5_rf,0.56,3391,0.23823541948669077,0.24349842622397352,0.02209162159271938
WN18RR,balanced5_rf,0.58,3512,0.23655840147985457,0.24171325862381504,0.021791055027903683
WN18RR,balanced5_rf,0.6,3633,0.23504687150458303,0.23993770783404006,0.020807919280736664
WN18RR,balanced5_rf,0.62,3754,0.24568190016032737,0.2504481495793564,0.019400083668836388
WN18RR,balanced5_rf,0.64,3875,0.25876345686231167,0.26331447153543514,0.017587547825754557
WN18RR,balanced5_rf,0.66,3996,0.27560928823881503,0.2799562705910458,0.015772263627284122
WN18RR,balanced5_rf,0.68,4117,0.29585853835470055,0.3000807749212666,0.01427113305583938
WN18RR,balanced5_rf,0.7,4238,0.315562281249964,0.31966396766655863,0.012998024986850654
WN18RR,balanced5_rf,0.72,4360,0.33470708929875415,0.3386940037559853,0.011911652261636041
WN18RR,balanced5_rf,0.74,4481,0.3526651587261238,0.3565444149264202,0.010999828319612881
WN18RR,balanced5_rf,0.76,4602,0.36968680567679385,0.3734600082686276,0.010206484337264898
WN18RR,balanced5_rf,0.78,4723,0.38582913341055336,0.3895056691563969,0.009528922073210655
WN18RR,balanced5_rf,0.8,4844,0.40116434250196215,0.4047490407529157,0.008935734987303823
WN18RR,balanced5_rf,0.82,4965,0.4157523918382235,0.41924972886292017,0.008412067118203304
WN18RR,balanced5_rf,0.84,5086,0.42964573946397594,0.43305987204903673,0.007946389947495414
WN18RR,balanced5_rf,0.86,5207,0.44270637333115165,0.44604107884487754,0.007532544626890791
WN18RR,balanced5_rf,0.88,5328,0.45535688033273175,0.4586158539832519,0.00715696586848269
WN18RR,balanced5_rf,0.9,5450,0.4675434878786633,0.47072950835755706,0.006814383178235239
WN18RR,balanced5_rf,0.92,5571,0.47910258443076625,0.48221940575727334,0.006505540624896167
WN18RR,balanced5_rf,0.94,5692,0.4901699779179105,0.4932205421501612,0.00622348240340731
WN18RR,balanced5_rf,0.96,5813,0.5007771332726589,0.503764198748312,0.005964859969008751
WN18RR,balanced5_rf,0.98,5934,0.5108710146078359,0.5137955979002216,0.005724699990330651
WN18RR,balanced5_rf,1.0,6055,0.5112021246888967,0.5133269561687425,0.004156538827257084
YAGO3-10,balanced5_rf,0.02,200,0.2729923135646304,0.48318378755939745,0.7699538175641882
YAGO3-10,balanced5_rf,0.04,399,0.31640194658381726,0.49947719941927776,0.5786160762034456
YAGO3-10,balanced5_rf,0.06,598,0.3496968606613677,0.5302879530116288,0.5164218289198148
YAGO3-10,balanced5_rf,0.08,798,0.365149216432439,0.5286839678744142,0.4478573253962681
YAGO3-10,balanced5_rf,0.1,998,0.3825753109590961,0.5313558148790156,0.38889206819680733
YAGO3-10,balanced5_rf,0.12,1197,0.400862295634929,0.5437542813679122,0.35646152628711425
YAGO3-10,balanced5_rf,0.14,1397,0.4103662804276038,0.5403518031717045,0.3167548820255288
YAGO3-10,balanced5_rf,0.16,1596,0.4134312680460742,0.5323695463501036,0.2876857352036917
YAGO3-10,balanced5_rf,0.18,1796,0.4230483335773239,0.5327166440730025,0.25923352437844693
YAGO3-10,balanced5_rf,0.2,1995,0.42255197970050334,0.5259033365832902,0.24458850472323035
YAGO3-10,balanced5_rf,0.22,2194,0.4264128210129357,0.5240231258779828,0.22891034240756558
YAGO3-10,balanced5_rf,0.24,2394,0.42758686270673313,0.5192998775044001,0.21448978627898052
YAGO3-10,balanced5_rf,0.26,2594,0.4294522433115922,0.5156977615443442,0.20082679640393897
YAGO3-10,balanced5_rf,0.28,2793,0.4301866735439073,0.5127191764018458,0.19185276516827
YAGO3-10,balanced5_rf,0.3,2992,0.43676091392433464,0.5148868019270646,0.17887563999434408
YAGO3-10,balanced5_rf,0.32,3192,0.44626408446497756,0.5209455055340627,0.16734804271470805
YAGO3-10,balanced5_rf,0.34,3392,0.45106567435387485,0.5217573587595707,0.15672148962999155
YAGO3-10,balanced5_rf,0.36,3591,0.45502145338269184,0.5218946682368784,0.14696716903574947
YAGO3-10,balanced5_rf,0.38,3790,0.4601859525051865,0.5235653976337882,0.1377257275750663
YAGO3-10,balanced5_rf,0.4,3990,0.4682996139993587,0.528075368574662,0.1276442533548301
YAGO3-10,balanced5_rf,0.42,4190,0.47473097440296086,0.5314849849678385,0.1195498369076371
YAGO3-10,balanced5_rf,0.44,4389,0.48234562548933013,0.5356582171896175,0.11052778108270966
YAGO3-10,balanced5_rf,0.46,4588,0.48768093122668904,0.5384704799868266,0.10414503727341562
YAGO3-10,balanced5_rf,0.48,4788,0.4965293791221025,0.5448667682805277,0.09735051175398524
YAGO3-10,balanced5_rf,0.5,4988,0.5050876514483057,0.5513880068254852,0.09166796148038125
YAGO3-10,balanced5_rf,0.52,5187,0.5101534137173931,0.5539801220448985,0.0859088798566463
YAGO3-10,balanced5_rf,0.54,5386,0.5159571565200664,0.5580818692798536,0.08164381911843677
YAGO3-10,balanced5_rf,0.56,5586,0.5209985744368119,0.561521285001409,0.0777789279143446
YAGO3-10,balanced5_rf,0.58,5786,0.5243397125459038,0.5628758108107469,0.07349452529111922
YAGO3-10,balanced5_rf,0.6,5985,0.5279410178963077,0.5651178633591761,0.0704185585181607
YAGO3-10,balanced5_rf,0.62,6184,0.5318370181577193,0.5674899140027407,0.0670372588364061
YAGO3-10,balanced5_rf,0.64,6384,0.5383592818470515,0.5729022378328641,0.0641633889310862
YAGO3-10,balanced5_rf,0.66,6584,0.5439478785076534,0.5773299089924346,0.06136990657334018
YAGO3-10,balanced5_rf,0.68,6783,0.5484598416161721,0.5806096763385745,0.05861839333152452
YAGO3-10,balanced5_rf,0.7,6982,0.554134039207389,0.5852735497604618,0.05619490655656789
YAGO3-10,balanced5_rf,0.72,7182,0.5598040582737325,0.5899276286240142,0.053810918132986885
YAGO3-10,balanced5_rf,0.74,7382,0.5614380754800504,0.5905742242486877,0.051895569682773646
YAGO3-10,balanced5_rf,0.76,7581,0.5642780822670913,0.5926305497126242,0.05024555859341828
YAGO3-10,balanced5_rf,0.78,7780,0.5706592251727468,0.5982471731632357,0.048343997211536704
YAGO3-10,balanced5_rf,0.8,7980,0.5758030232335618,0.6026274561816068,0.04658612731382683
YAGO3-10,balanced5_rf,0.82,8179,0.5753733735342684,0.601414006907181,0.045258669536541785
YAGO3-10,balanced5_rf,0.84,8379,0.5751544591583797,0.6005616167952326,0.04417449475055979
YAGO3-10,balanced5_rf,0.86,8578,0.5708150054625112,0.5956304338502101,0.043473679125852316
YAGO3-10,balanced5_rf,0.88,8778,0.5702867581314464,0.5945359575584293,0.042521063449615815
YAGO3-10,balanced5_rf,0.9,8978,0.5695165631756844,0.5931650186573701,0.04152373611369509
YAGO3-10,balanced5_rf,0.92,9177,0.5727970086198099,0.5956946777823772,0.03997518984559756
YAGO3-10,balanced5_rf,0.94,9376,0.5774970324514703,0.5999079192817053,0.03880692985572742
YAGO3-10,balanced5_rf,0.96,9576,0.5657868929001139,0.5877280981428863,0.038779981505591365
YAGO3-10,balanced5_rf,0.98,9776,0.5631742876046475,0.584113504448776,0.03718070463264467
YAGO3-10,balanced5_rf,1.0,9975,0.5616723217905851,0.5802260659200453,0.033033039745151926
codex-l,balanced5_rf,0.02,1223,0.2577053255468829,0.35966265792687074,0.39563533335456547
codex-l,balanced5_rf,0.04,2445,0.2867276859696025,0.3553806399284546,0.2394360827999369
codex-l,balanced5_rf,0.06,3668,0.3268710729097895,0.3823827835423867,0.1698275412945991
codex-l,balanced5_rf,0.08,4890,0.3438940042793653,0.3938881102740766,0.14537649791096152
codex-l,balanced5_rf,0.1,6113,0.3561702977116486,0.3997867243802944,0.12245947219315068
codex-l,balanced5_rf,0.12,7335,0.3781465478580339,0.4162435714874941,0.10074671802573953
codex-l,balanced5_rf,0.14,8558,0.38826578119101857,0.42298294137036035,0.08941596674537156
codex-l,balanced5_rf,0.16,9781,0.3796347932255643,0.41131294954602676,0.08344376460152447
codex-l,balanced5_rf,0.18,11003,0.36552120243546643,0.3942582404951433,0.0786193464789513
codex-l,balanced5_rf,0.2,12226,0.3591738049643243,0.38672398940887737,0.07670432549302864
codex-l,balanced5_rf,0.22,13448,0.3502008054558146,0.37638176915360005,0.0747598614563687
codex-l,balanced5_rf,0.24,14671,0.34567245571102423,0.3698019487223311,0.06980450022167428
codex-l,balanced5_rf,0.26,15894,0.34692287028779567,0.3693504998155901,0.06464730765426108
codex-l,balanced5_rf,0.28,17116,0.3514456806096541,0.3726461380164384,0.06032356798355809
codex-l,balanced5_rf,0.3,18339,0.355579632650717,0.37558764443317144,0.05626872279860895
codex-l,balanced5_rf,0.32,19561,0.3562422069342867,0.3753733106190375,0.053702518433700774
codex-l,balanced5_rf,0.34,20784,0.35178977099519226,0.3698508136737585,0.0513404429795461
codex-l,balanced5_rf,0.36,22006,0.3429143919629744,0.3600335841959421,0.049922641435288906
codex-l,balanced5_rf,0.38,23229,0.3367729683577645,0.3530235566922762,0.048253838227444
codex-l,balanced5_rf,0.4,24452,0.3315339543174502,0.34698602806076734,0.04660781661151203
codex-l,balanced5_rf,0.42,25674,0.32503227561222336,0.33995122335282313,0.0458998962872188
codex-l,balanced5_rf,0.44,26897,0.32292314160566,0.3371490864212924,0.044053655445370765
codex-l,balanced5_rf,0.46,28119,0.31898739392024883,0.3326448792710103,0.04281512564780532
